timestamp,ward_id,ward_name,aqi,pm25,pm10,no2,so2,co,o3,temperature,humidity,wind_speed,wind_direction,boundary_layer_h,precipitation,hour,day_of_week,month,is_weekend,is_industrial,source
2025-12-29 23:00:00,wazirpur,Wazirpur,188.8,106.4,163.8,39.0,8.3,2.11,36.5,67.1,20.0,4.9,104.8,1249.0,0.02,23,0,12,0,1,historical_backfill
2025-12-30 00:00:00,wazirpur,Wazirpur,180.4,99.8,136.2,29.8,9.2,1.82,45.0,60.8,20.0,2.6,43.9,385.0,0.03,0,1,12,0,1,historical_backfill
2025-12-30 01:00:00,wazirpur,Wazirpur,159.9,96.7,169.3,34.8,8.4,2.18,35.9,59.1,20.0,2.7,128.4,284.0,0.01,1,1,12,0,1,historical_backfill
2025-12-30 02:00:00,wazirpur,Wazirpur,155.5,80.1,139.5,33.1,9.6,1.61,42.0,63.3,20.0,2.8,112.0,281.0,0.02,2,1,12,0,1,historical_backfill
2025-12-30 03:00:00,wazirpur,Wazirpur,175.7,96.0,161.0,35.6,11.8,2.21,69.4,61.1,20.0,3.4,38.8,359.0,0.02,3,1,12,0,1,historical_backfill
2025-12-30 04:00:00,wazirpur,Wazirpur,178.5,110.0,145.5,28.1,7.9,2.42,44.8,62.1,20.0,3.6,290.7,497.0,0.11,4,1,12,0,1,historical_backfill
2025-12-30 05:00:00,wazirpur,Wazirpur,174.2,93.5,116.2,33.1,7.9,2.0,46.2,63.2,20.0,0.5,253.1,476.0,0.16,5,1,12,0,1,historical_backfill
2025-12-30 06:00:00,wazirpur,Wazirpur,180.3,99.6,182.8,31.5,9.6,2.15,32.6,66.1,20.0,4.7,132.4,409.0,0.05,6,1,12,0,1,historical_backfill
2025-12-30 07:00:00,wazirpur,Wazirpur,214.5,125.4,202.8,43.0,10.7,2.46,43.7,61.7,20.0,2.1,139.2,472.0,0.13,7,1,12,0,1,historical_backfill
2025-12-30 08:00:00,wazirpur,Wazirpur,223.0,124.5,205.2,32.1,11.5,2.75,44.0,61.9,20.0,4.3,319.4,630.0,0.08,8,1,12,0,1,historical_backfill
2025-12-30 09:00:00,wazirpur,Wazirpur,213.1,124.0,183.2,32.3,12.8,2.95,44.6,62.8,20.0,1.8,268.7,746.0,0.05,9,1,12,0,1,historical_backfill
2025-12-30 10:00:00,wazirpur,Wazirpur,217.2,112.3,174.8,38.7,11.5,2.69,44.9,65.0,20.0,3.1,70.3,972.0,0.06,10,1,12,0,1,historical_backfill
2025-12-30 11:00:00,wazirpur,Wazirpur,173.8,101.5,142.3,35.2,10.8,1.98,35.2,64.3,20.0,3.6,250.6,662.0,0.05,11,1,12,0,1,historical_backfill
2025-12-30 12:00:00,wazirpur,Wazirpur,195.9,110.6,173.2,40.7,11.9,1.94,32.9,66.6,20.0,4.3,287.4,1185.0,0.05,12,1,12,0,1,historical_backfill
